"Number","Type","Date","Time","Users","Source IP","Computer name","Connection type","Accessd resources","Action"
"103886357","Information","2021-03-14","22:17:35","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886356","Information","2021-03-14","22:12:35","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886355","Information","2021-03-14","22:09:46","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886354","Information","2021-03-14","22:07:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886353","Information","2021-03-14","22:02:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886352","Information","2021-03-14","21:57:35","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886351","Information","2021-03-14","21:54:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886350","Information","2021-03-14","21:52:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886349","Information","2021-03-14","21:47:35","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886348","Information","2021-03-14","21:42:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886347","Information","2021-03-14","21:39:47","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886346","Information","2021-03-14","21:37:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886345","Information","2021-03-14","21:32:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886344","Information","2021-03-14","21:30:32","edp","172.255.152.188","com_main","---","SAMBA","Login OK"
"103886343","Information","2021-03-14","21:30:30","guest","172.255.152.188","com_main","---","SAMBA","Login OK"
"103886342","Information","2021-03-14","21:27:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886341","Information","2021-03-14","21:24:47","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886340","Information","2021-03-14","21:22:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886339","Information","2021-03-14","21:17:35","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886338","Information","2021-03-14","21:12:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886337","Information","2021-03-14","21:09:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886336","Information","2021-03-14","21:07:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886335","Information","2021-03-14","21:02:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886334","Information","2021-03-14","20:57:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886333","Information","2021-03-14","20:54:43","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886332","Information","2021-03-14","20:52:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886331","Information","2021-03-14","20:47:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886330","Information","2021-03-14","20:42:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886329","Information","2021-03-14","20:39:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886328","Information","2021-03-14","20:37:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886327","Information","2021-03-14","20:32:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886326","Information","2021-03-14","20:32:00","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886325","Information","2021-03-14","20:27:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886324","Information","2021-03-14","20:24:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886323","Information","2021-03-14","20:22:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886322","Information","2021-03-14","20:17:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886321","Information","2021-03-14","20:12:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886320","Information","2021-03-14","20:09:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886319","Information","2021-03-14","20:07:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886318","Information","2021-03-14","20:02:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886317","Information","2021-03-14","19:57:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886316","Information","2021-03-14","19:54:37","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886315","Information","2021-03-14","19:53:30","edp","172.255.152.188","com_main","---","SAMBA","Login OK"
"103886314","Information","2021-03-14","19:53:29","guest","172.255.152.188","com_main","---","SAMBA","Login OK"
"103886313","Information","2021-03-14","19:52:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886312","Information","2021-03-14","19:47:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886311","Information","2021-03-14","19:42:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886310","Information","2021-03-14","19:39:45","dumrongchai.c","172.255.152.236","pcgl-it001","---","SAMBA","Login OK"
"103886309","Information","2021-03-14","19:37:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
"103886308","Information","2021-03-14","19:32:34","pakin m","172.255.152.226","pcgl_pakin","---","SAMBA","Login OK"
